yy,admin2,latitude,longitude,num_events,total_fatalities,event_type
2018,Tartous,34.8866,35.8934,1,0,All
2018,Jablah,35.3960375,35.95674375,16,0,All
2018,Qatana,33.2958666666667,36.0531777777778,9,5,All
2018,Ar Rastan,34.8879984848485,36.7767051515151,330,204,All
2018,Al Qutayfah,33.830903030303,36.9236545454545,33,60,All
2018,As Safira,35.841445945946,37.4349432432433,37,5,All
2018,Al Makhrim,34.7791,37.1684625,8,5,All
2018,An Nabk,34.0686,36.5419,3,2,All
2018,Az Zabdani,33.6440666666667,36.1249,3,6,All
2017,Ar Rastan,34.8774369137671,36.7520730711043,661,394,All
2017,Dara,32.6614238874346,36.1082639397903,1528,2344,All
2017,Hama,35.2286625474252,36.8128175609754,1845,2545,All
2017,Duma,33.5362847535933,36.5432466119097,1948,2938,All
2017,Al Mara,35.5189502988048,36.7159526892429,1004,1149,All
2017,Jebel Saman,36.1616945521216,37.0691375589313,1909,2337,All
2017,As Salamiyeh,35.1164615424701,37.3136597186036,1919,2610,All
2017,Abu Kamal,34.5529344322346,40.8464620268618,819,2099,All
2017,Muhradah,35.3167331106868,36.5982428435113,1048,928,All
2017,Al Haffa,35.735308,36.182416,175,159,All
2017,Rural Damascus,33.5123498926271,36.3637674302077,1397,2036,All
2017,As Safira,35.8364257142858,37.4114499999999,350,449,All
2017,Idleb,35.9110796850394,36.7299436220474,635,1239,All
2017,Lattakia,35.7474616666667,35.967825,120,146,All
2017,Ar Raqqa,35.9427726524683,39.0544114714425,2066,7582,All
2017,Al Mayadin,34.9708705192628,40.5132448911223,597,1972,All
2017,Jisr Ash Shugur,35.8280771712159,36.2725267990073,403,368,All
2017,Azaz,36.5021102611941,37.1089052238806,536,747,All
2017,Afrin,36.5190807017544,36.8681578947368,114,39,All
2017,Damascus,33.521255855856,36.3078226226227,999,1633,All
2017,Ariha,35.7432778325123,36.5610246305419,203,257,All
2017,Quneitra,33.1672316831684,35.8594782178217,404,468,All
2017,Qatana,33.3183556603774,35.944023773585,530,692,All
2017,Deir ez Zor,35.3482923377258,40.1593926793554,2049,5633,All
2017,Al Hasakeh,36.1268135922331,40.7997679611651,412,1132,All
2017,Homs,34.7580125252526,36.7911104040405,990,1853,All
2017,As Suqaylabiyah,35.4910272164947,36.3856680412371,485,351,All
2017,Quamishli,36.9958367346939,41.2357551020408,49,85,All
2017,Al Bab,36.3568724957555,37.564532597623,589,1861,All
2017,As Sanamayn,33.0712621301775,36.1054106508876,169,170,All
2017,Jablah,35.3760909090909,35.9352454545455,11,40,All
2017,Ras Al Ain,36.8148181818182,40.1209386363636,44,138,All
2017,Masyaf,35.0232014492754,36.4011376811594,69,93,All
2017,Menbij,36.186095264624,37.9619303621169,359,714,All
2017,Harim,36.1818509433962,36.634543018868,265,658,All
2017,Tell Abiad,36.51208625,38.92183625,80,133,All
2017,Izra,32.875895390071,36.1901141843972,282,485,All
2017,At Tall,33.6643225000001,36.3288341666667,120,152,All
2017,As Sweida,32.7075780821918,36.5917452054795,73,129,All
2017,Al Malikeyyeh,37.0978454545455,42.0366409090909,22,56,All
2017,An Nabk,34.054706930693,36.6868524752476,101,332,All
2017,Darayya,33.4577977272728,36.2958068181818,44,49,All
2017,Jarablus,36.7710948275862,37.9883,58,70,All
2017,Al Makhrim,34.8164229665072,37.331119138756,209,365,All
2017,Tadmor,34.6860515653777,38.5803594843465,543,1317,All
2017,Az Zabdani,33.664556,36.1207802857144,350,508,All
2017,Al Qutayfah,33.843697979798,36.9671373737374,99,247,All
2017,Ath Thawrah,35.8382872570196,38.5572483801298,463,1342,All
2017,Shahba,32.9646448275862,36.5891482758621,29,102,All
2017,Tall Kalakh,34.6980405405406,36.2118027027027,37,38,All
2017,Ain Al Arab,36.7967833333333,38.274725,24,47,All
2017,Al Fiq,32.8328,35.7836,1,0,All
2017,Al Qardaha,35.4538,36.0511,7,2,All
2017,Al Qusayr,34.5951142857143,36.5633685714286,35,106,All
2017,Yabroud,33.9702058823529,36.6363117647059,17,32,All
2017,Salkhad,32.4683666666667,36.5949666666667,3,11,All
2017,Tartous,34.8866,35.8934,5,14,All
2020,Ariha,35.7106848712446,36.5637644849783,932,221,Explosions/Remote violence
2020,Idleb,35.8888255319149,36.7400818181818,517,370,Explosions/Remote violence
2020,Deir ez Zor,35.294914117647,40.2562994117648,170,280,Battles
2020,Deir ez Zor,35.2599895,40.3529805,200,148,Violence against civilians
2020,As Suqaylabiyah,35.5703518987342,36.3712481012658,79,171,Battles
2020,Al Hasakeh,36.3475809523809,40.9369136904763,168,71,Violence against civilians
2020,Ras Al Ain,36.8295989010989,40.2256857142858,182,223,Explosions/Remote violence
2020,As Suqaylabiyah,35.6193655963303,36.352947706422,436,67,Explosions/Remote violence
2020,Izra,32.8617578313253,36.161165060241,83,74,Battles
2020,Dara,32.6555094736842,36.1419147368421,95,65,Explosions/Remote violence
2020,Ath Thawrah,35.6810793650794,38.6726015873016,63,61,Explosions/Remote violence
2020,Al Hasakeh,36.4479488888889,40.5227,180,100,Explosions/Remote violence
2020,Ath Thawrah,35.7376693877551,38.6319,49,149,Battles
2020,Ar Raqqa,35.9337695652174,39.126375,92,83,Violence against civilians
2020,Al Hasakeh,36.3182727272727,40.7185987878788,165,156,Battles
2020,Deir ez Zor,35.2999801587302,40.1923492063492,126,88,Explosions/Remote violence
2020,As Salamiyeh,35.213331372549,37.4989058823529,51,44,Explosions/Remote violence
2020,Al Mayadin,34.9968091836735,40.5101816326531,98,132,Battles
2020,Al Mara,35.6055009090909,36.5851168181818,220,581,Battles
2020,Al Mara,35.6157974999999,36.5443818518519,1080,136,Explosions/Remote violence
2020,Abu Kamal,34.6000487179487,40.8704153846154,39,19,Violence against civilians
2020,Al Mayadin,34.9920376623377,40.5453792207792,77,52,Violence against civilians
2020,Tell Abiad,36.5240257790368,38.8557359773372,353,114,Explosions/Remote violence
2020,Azaz,36.5372364583333,37.095284375,96,104,Battles
2020,Afrin,36.5352678899083,36.7841697247706,109,29,Violence against civilians
2020,Tell Abiad,36.5479386363636,38.9595431818182,44,18,Violence against civilians
2020,Harim,36.1641741935484,36.6093806451613,31,100,Explosions/Remote violence
2020,As Salamiyeh,35.3271490566038,37.6838283018868,53,312,Battles
2020,Az Zabdani,33.67235,36.1156,2,1,Battles
2020,Jarablus,36.7236620689655,37.9595655172414,29,19,Battles
2020,Menbij,36.5537157894737,37.8742657894737,38,5,Battles
2020,Tell Abiad,36.5031522123894,38.8889274336283,113,236,Battles
2020,Jarablus,36.7191181818182,37.9523545454546,22,11,Explosions/Remote violence
2020,Azaz,36.4943695054945,37.0809417582418,364,49,Explosions/Remote violence
2020,Menbij,36.5550557692308,37.8884384615385,52,11,Explosions/Remote violence
2020,Ras Al Ain,36.8086938053097,40.1489150442478,113,98,Battles
2020,Al Haffa,35.7321564356435,36.2038465346535,101,22,Explosions/Remote violence
2020,Idleb,35.8665164948454,36.7750072164948,194,414,Battles
2020,Ar Raqqa,35.9370365384615,39.1278625,104,92,Explosions/Remote violence
2020,Quamishli,36.9934875,41.23565,16,21,Battles
2020,Afrin,36.4836033898305,36.8269355932203,59,81,Battles
2020,As Sanamayn,33.0710774193548,36.1515967741936,31,42,Battles
2020,Ras Al Ain,36.838865,40.1605175,40,12,Violence against civilians
2020,As Sweida,32.7277243243243,36.5205243243243,37,29,Violence against civilians
2020,Abu Kamal,34.5733859504132,40.8622983471075,121,188,Explosions/Remote violence
2020,Harim,36.1926409090909,36.6536636363636,22,28,Battles
2020,Ar Raqqa,35.9172229508197,39.1284032786885,61,96,Battles
2020,Jebel Saman,36.1359448780488,36.9872390243902,205,308,Battles
2020,Dara,32.6822864516129,36.1070303225807,155,114,Violence against civilians
2020,Al Mayadin,35.0075739130435,40.5296695652174,92,94,Explosions/Remote violence
2020,Jebel Saman,36.1530034482758,36.9611049999999,580,254,Explosions/Remote violence
2020,Dara,32.6841256637168,36.1183128318584,226,281,Battles
2020,At Tall,33.6663425287357,36.3297080459771,87,108,Violence against civilians
2020,Lattakia,35.77326,36.0207822222222,45,2,Explosions/Remote violence
2020,Ariha,35.7235634615385,36.5986125,104,132,Battles
2020,Quamishli,36.95023,41.28612,30,7,Violence against civilians
2020,Ath Thawrah,35.9209933333333,38.5376733333333,30,15,Violence against civilians
2020,Lattakia,35.78195,35.9682,6,3,Battles
2020,Muhradah,35.3182636363636,36.5431818181818,11,1,Explosions/Remote violence
2020,Al Bab,36.4013732394366,37.5572112676056,71,89,Explosions/Remote violence
2020,Izra,32.8701838709677,36.1756258064516,31,10,Explosions/Remote violence
2020,Afrin,36.4929344155844,36.903924025974,154,126,Explosions/Remote violence
2020,Jisr Ash Shugur,35.80265625,36.27225125,80,13,Explosions/Remote violence
2020,Masyaf,35.159,36.34305,2,6,Battles
2020,Masyaf,35.14814,36.3884,5,9,Explosions/Remote violence
2020,Al Malikeyyeh,36.9987555555556,41.9859222222222,9,9,Violence against civilians
2020,Quneitra,33.0979866666667,35.89764,15,9,Battles
2020,Harim,36.1948914285714,36.5873857142857,35,25,Violence against civilians
2020,Idleb,35.9443025641026,36.6646974358974,39,31,Violence against civilians
2020,Abu Kamal,34.5653452380952,40.8793095238095,42,78,Battles
2020,As Sanamayn,33.09904375,36.12055,16,18,Explosions/Remote violence
2020,Ariha,35.7931,36.56455,6,6,Violence against civilians
2020,Damascus,33.5195142857143,36.2801857142857,21,21,Violence against civilians
2020,Duma,33.4651,37.58755,2,4,Violence against civilians
2020,Quneitra,33.1381516129032,35.8565870967742,31,33,Explosions/Remote violence
2020,Homs,34.6224555555555,36.9569222222222,9,13,Battles
2020,Quamishli,37.0270285714286,41.2445904761905,21,5,Explosions/Remote violence
2020,Azaz,36.5751285714286,37.1206678571429,28,24,Violence against civilians
2020,Tadmor,34.668948,38.705472,25,55,Explosions/Remote violence
2020,Rural Damascus,33.4333692307692,36.2655461538462,13,21,Explosions/Remote violence
2020,As Sweida,32.7233529411765,36.5300470588235,17,14,Battles
2020,Ar Rastan,34.871125,36.718975,4,10,Battles
2020,Tadmor,34.7802325,38.741055,40,231,Battles
2020,Damascus,33.503225,36.259775,12,7,Explosions/Remote violence
2020,Al Bab,36.4028311688312,37.5309194805195,77,43,Battles
2020,Jisr Ash Shugur,35.8464928571429,36.33115,14,10,Battles
2020,Jisr Ash Shugur,35.89734,36.33056,10,8,Violence against civilians
2020,Al Bab,36.3908884615385,37.5042615384616,26,15,Violence against civilians
2020,As Sanamayn,33.0591428571429,36.1530928571429,14,15,Violence against civilians
2020,Muhradah,35.2585,36.609,1,1,Violence against civilians
2020,Izra,32.8991958333333,36.1152416666667,48,32,Violence against civilians
2020,An Nabk,34.03495,36.6823,2,1,Violence against civilians
2020,Duma,33.4049875,36.5562,8,24,Explosions/Remote violence
2020,Al Malikeyyeh,37.0510571428571,41.9907,14,8,Explosions/Remote violence
2020,Hama,35.2462361111111,36.7497527777778,36,23,Explosions/Remote violence
2020,Jebel Saman,36.1746666666667,36.9381416666667,12,13,Violence against civilians
2020,As Salamiyeh,35.23996,37.6699,5,15,Violence against civilians
2020,Duma,33.4950666666667,36.9934111111111,9,26,Battles
2020,Ar Rastan,34.8427,36.7267,2,1,Explosions/Remote violence
2020,Ar Rastan,34.86444,36.73932,5,5,Violence against civilians
2020,Hama,35.33625,36.99515,2,2,Violence against civilians
2020,Al Qutayfah,33.8068,36.7398,1,1,Violence against civilians
2020,Tadmor,34.69174,38.5062,5,30,Violence against civilians
2020,Ain Al Arab,36.8193285714286,38.1684642857143,14,10,Explosions/Remote violence
2020,Al Haffa,35.7503363636364,36.1885181818182,11,30,Battles
2020,Al Fiq,32.86765,35.87365,2,11,Battles
2020,Shahba,32.8801,36.56114,5,6,Battles
2020,Homs,34.5621666666667,36.8922333333333,3,1,Violence against civilians
2020,As Sweida,32.69625,36.6416,8,12,Explosions/Remote violence
2020,Ain Al Arab,36.8332333333333,38.3202666666667,3,1,Battles
2020,Ain Al Arab,36.8044833333333,38.3239666666667,6,4,Violence against civilians
2020,Al Mara,35.54204,36.62168,5,4,Violence against civilians
2020,Al Makhrim,34.8311,37.3759666666667,3,6,Violence against civilians
